Customer Number;Sales and Distribution Document Number;Consignment;Sales order date;delivery date;Status;Gross Weight of the Item;Net Value of the Sales Order in Document Currency;Transport number;netvolume confirmed;netvolume unconfirmed;Status of confirmation;Date of Confirmation;Trackingnumber;Trackingnumber;Trackingnumber;Container
90753126831;0001904086;MRS.BUECHNER;22.12.2016;24.07.2017;Confirmed Week 30.2017;1.454;8.632,42;;0,000;9,645;Not confirmed;;;;;CO07
9075310165;0004730351;ALLENDORFER CLOSET HANDLES;20.12.2016;17.01.2017;Post dispatch on 16.01.2017;14;649,75;201703188005;0,054;0,000;Confirmed;20161214;;;;UPS
9075310165;0001908999;STOCK LER;20.12.2016;24.07.2017;Confirmed Week 30.2017;1;397,80;;0,001;0,000;Confirmed;20161219;;;;
9075310165;0001908018;STOCK ZW PEGS;20.12.2016;23.01.2017;From factory 20.01.2017;40;0,00;201703520060;0,069;0,000;Confirmed;20161214;;;;
9075310165;0001905804;LEICHT LOGOS;02.12.2016;20.12.2016;From factory 19.12.2016;13;0,00;201651123150;0,018;0,000;Confirmed;20161130;;;;LA51
9075310165;0001903528;DESK CALENDAR;23.11.2016;08.12.2016;From factory 07.12.2016;0;0,00;201649321190;0,000;0,000;Confirmed;20161121;;;;LA49
9075302574;0001904095;R STREET LOWER L.PERIMETER;05.12.2016;21.12.2016;From factory 20.12.2016;1.004;6.509,72;201651226096;6,662;0,000;Confirmed;20161130;;;;NJ51
9075302574;0001904097;KADIDA;05.12.2016;21.12.2016;From factory 20.12.2016;940;5.860,10;201651226097;6,159;0,000;Confirmed;20161201;;;;NJ51
9075302574;0001904093;R STREET UPPER DRY BAR;05.12.2016;21.12.2016;From factory 20.12.2016;217;1.274,94;201651226094;1,000;0,000;Confirmed;20161201;;;;NJ51
9075302574;0001904094;R STREET LOWER VANITIES;05.12.2016;21.12.2016;From factory 20.12.2016;229;2.168,12;201651226095;1,381;0,000;Confirmed;20161201;;;;NJ51
9075302574;0001904092;R STREET UPPER VANITIES;05.12.2016;21.12.2016;From factory 20.12.2016;217;1.569,53;201651226093;1,235;0,000;Confirmed;20161130;;;;NJ51
9075307374;0004740313;MISSING ITEMS DEC. CONTAINER;22.12.2016;24.07.2017;Confirmed Week 30.2017;2;6,48;;0,001;0,000;Confirmed;20161221;;;;
9075307374;0001904091;CABRERA;02.12.2016;20.12.2016;From factory 19.12.2016;1.703;11.331,38;201651128034;11,943;0,000;Confirmed;20161201;;;;FL51
9075307374;0004736607;DURREGO GFR FRONTS;02.12.2016;20.12.2016;From factory 19.12.2016;16;314,28;201651128032;0,067;0,000;Confirmed;20161128;;;;FL51
9075307374;0004739037;BRIATORE GRIP RAILS;19.12.2016;30.01.2017;Confirmed Week 05.2017;3;0,00;;0,007;0,000;Confirmed;20161214;;;;
9075307374;0001901639;CHARIFF;02.12.2016;20.12.2016;From factory 19.12.2016;1.239;8.966,79;201651128031;8,429;0,000;Confirmed;20161128;;;;FL51
9075307374;0001902463;DARROLL ADDITION;02.12.2016;20.12.2016;From factory 19.12.2016;27;247,86;201651128035;0,120;0,000;Confirmed;20161128;;;;FL51
9075307374;0001902164;DURREGO;02.12.2016;20.12.2016;From factory 19.12.2016;1.670;13.692,49;201651128030;12,365;0,000;Confirmed;20161128;;;;FL51
9075307374;0004733792;KAPLAN CALIM AND ADDITION;02.12.2016;20.12.2016;From factory 19.12.2016;81;1.095,12;201651128033;0,840;0,000;Confirmed;20161121;;;;FL51
9075310188;0001416098;SAMPLES;20.12.2016;06.02.2017;Confirmed Week 06.2017;3;0,00;;0,005;0,000;Confirmed;20161215;;;;
9075310188;0001415948;DOOR SAMPLES;14.12.2016;21.12.2016;Post dispatch on 20.12.2016;5;0,00;201651288028;0,007;0,000;Confirmed;20161208;;;;
9075310188;0001413662;CHIP BINDER;24.11.2016;12.12.2016;From factory 08.12.2016;25;0,00;201649495005;0,101;0,000;Confirmed;20161116;;;;AFT50
9075310188;0004740096;HOUSTON SR RECEPTION REPL;20.12.2016;24.07.2017;Confirmed Week 30.2017;7;0,00;;0,034;0,000;Confirmed;20161220;;;;
9075310188;0004739329;HOUSTON SR KITCHEN-2;15.12.2016;24.07.2017;Confirmed Week 30.2017;12;250,38;;0,049;0,000;Confirmed;20161215;;;;
9075310188;0004739463;HOUSTON SR KIT.3 REPL;16.12.2016;24.07.2017;Confirmed Week 30.2017;27;156,16;;0,260;0,000;Confirmed;20161220;;;;
9075310188;0004739325;HOUSTON SR KITCHEN-2 REPL;16.12.2016;24.07.2017;Confirmed Week 30.2017;25;0,00;;0,102;0,000;Confirmed;20161220;;;;
9075310188;0004734698;BARONESS SHOWROOM 2014 ADD-ON;24.11.2016;12.12.2016;From factory 08.12.2016;73;395,54;201649495007;0,420;0,000;Confirmed;20161118;;;;AFT50
9075310188;0004738784;A-WILLENZIK BILLARDS/MB REPL;15.12.2016;12.01.2017;From factory 11.01.2017;33;497,34;201702395001;0,243;0,000;Confirmed;20161220;;;;
9075310188;0004739048;KIRSTEN NIX ADD ON;20.12.2016;12.01.2017;Post dispatch on 11.01.2017;18;229,41;201702388019;0,025;0,000;Confirmed;20161214;;;;UPS
9075310188;0004739216;A-WILLENZIK MASTER BATH/MB;15.12.2016;12.01.2017;From factory 11.01.2017;20;209,79;201702395003;0,107;0,000;Confirmed;20161215;;;;
9075310188;0004737502;R PORCH MASTER BATH;08.12.2016;19.12.2016;From factory 15.12.2016;18;129,60;201650495099;0,071;0,000;Confirmed;20161206;;;;
9075310188;0001908657;GUERAMY BATH1;20.12.2016;06.02.2017;From factory 02.02.2017;85;696,60;201705450000;0,564;0,000;Confirmed;20161219;;;;TX30
9075310188;0004735855;KAIMER MAIN KITCHEN REPLACEMEN;12.12.2016;30.01.2017;From factory 26.01.2017;49;1.467,51;201704450000;0,182;0,000;Confirmed;20161206;;;;
9075310188;0004736014;NIX BAR REPLACEMENT;24.11.2016;12.12.2016;From factory 08.12.2016;8;0,00;201649495008;0,037;0,000;Confirmed;20161123;;;;
9075310188;0004737890;LOFTIS KITCHEN BLENDER REPL.;08.12.2016;17.01.2017;From factory 16.01.2017;23;418,86;201703189001;0,093;0,000;Confirmed;20161208;;;;UPS
9075310188;0001908138;IOS SAMPLES;20.12.2016;06.02.2017;From factory 02.02.2017;5;0,00;201705450000;0,007;0,000;Confirmed;20161214;;;;
9075310188;0004737571;INKS LAKE REPL.;14.12.2016;19.12.2016;Post dispatch on 16.12.2016;5;22,75;201650588053;0,014;0,000;Confirmed;20161209;;;;UPS
9075310188;0001908659;GUERAMY BATH 2;20.12.2016;06.02.2017;From factory 02.02.2017;85;696,60;201705450000;0,564;0,000;Confirmed;20161219;;;;TX30
9075310188;0004736435;GRAHAM KITCHEN TRASH ADD-ON;29.11.2016;12.12.2016;From factory 08.12.2016;1;0,00;201649495011;0,008;0,000;Confirmed;20161128;;;;
9075310188;0001906392;WAX SERVICE PARTS;07.12.2016;12.12.2016;From factory 08.12.2016;0;97,50;201649495019;0,001;0,000;Confirmed;20161206;;;;AFT50
9075310188;0004737469;LOFTIS MASTER BATH;07.12.2016;16.01.2017;From factory 13.01.2017;4;261,00;201702589001;0,015;0,000;Confirmed;20161206;;;;UPS
9075310188;0001905794;SPICE RACK;06.12.2016;12.12.2016;From factory 08.12.2016;15;283,50;201649495018;0,035;0,000;Confirmed;20161130;;;;AFT50
9075310188;0004738794;A-WILLENZIK BATH 2/MB ADD;15.12.2016;12.01.2017;From factory 11.01.2017;3;28,35;201702395002;0,017;0,000;Confirmed;20161215;;;;
9075310188;0004732725;KEI MORIMOTO;24.11.2016;12.12.2016;From factory 08.12.2016;2;52,49;201649495003;0,065;0,000;Confirmed;20161116;;;;AFT50
9075310188;0004732347;SMITHERS KITCHEN ADDITIONAL;24.11.2016;12.12.2016;From factory 08.12.2016;8;85,86;201649495001;0,019;0,000;Confirmed;20161103;;;;AFT50
9075310188;0004732468;KIRSTEN NIX REPL;24.11.2016;12.12.2016;From factory 08.12.2016;65;83,43;201649495002;0,187;0,000;Confirmed;20161103;;;;AFT50
9075310188;0004734865;BESSETTE KITCHEN;21.11.2016;19.12.2016;From factory 16.12.2016;16;3,90;201650589001;0,060;0,000;Confirmed;20161121;;;;UPS
9075310188;0004731234;TORO KITCHEN;24.11.2016;12.12.2016;From factory 08.12.2016;18;127,98;201649495004;0,089;0,000;Confirmed;20161115;;;;AFT50
9075310188;0004734200;BESSETTE KITCHEN REPL.;24.11.2016;12.12.2016;From factory 08.12.2016;11;0,00;201649495006;0,055;0,000;Confirmed;20161116;;;;AFT50
9075310188;0001903581;ZFUE6070 STOCK;15.12.2016;30.01.2017;Confirmed Week 05.2017;13;204,75;;0,001;0,000;Confirmed;20161118;;;;TX05
9075310188;0004734944;SOLI ENGINEER REPL;24.11.2016;12.12.2016;From factory 08.12.2016;20;0,00;201649495010;0,107;0,000;Confirmed;20161116;;;;AFT50
9075310711;0001894546;SR1-K+B # 403;23.11.2016;08.12.2016;From factory 07.12.2016;297;930,47;201649321124;1,955;0,000;Confirmed;20161020;;;;LA49
9075310711;0001892792;SR1-K+B # 401;23.11.2016;08.12.2016;From factory 07.12.2016;375;1.301,69;201649321122;2,627;0,000;Confirmed;20161020;;;;LA49
9075310711;0001892788;SR1-K+B # 402;23.11.2016;08.12.2016;From factory 07.12.2016;297;930,47;201649321121;1,955;0,000;Confirmed;20161020;;;;LA49
9075310711;0001894547;SR1-K+B # 404;23.11.2016;08.12.2016;From factory 07.12.2016;297;930,47;201649321125;1,955;0,000;Confirmed;20161021;;;;LA49
9075310711;0001894548;SR1-K+B # 502;23.11.2016;08.12.2016;From factory 07.12.2016;297;930,47;201649321126;1,955;0,000;Confirmed;20161020;;;;LA49
9075310711;0001894549;SR1-K+B # 503;23.11.2016;08.12.2016;From factory 07.12.2016;297;930,47;201649321127;1,955;0,000;Confirmed;20161020;;;;LA49
9075310711;0001894550;SR1-K+B # 504;23.11.2016;08.12.2016;From factory 07.12.2016;297;930,47;201649321128;1,955;0,000;Confirmed;20161020;;;;LA49
9075310711;0001894545;SR1-K+B # 501;23.11.2016;08.12.2016;From factory 07.12.2016;375;1.301,69;201649321123;2,627;0,000;Confirmed;20161021;;;;LA49
9075310711;0004738233;466 D.AVE (1) ADD ON HANDLES;12.12.2016;15.12.2016;Post dispatch on 14.12.2016;1;123,00;201650388116;0,000;0,000;Confirmed;20161209;;;;UPS
9075310711;0004736138;SHOWROOM ADDITION ORDER;02.12.2016;20.12.2016;From factory 19.12.2016;5;249,70;201651123091;0,031;0,000;Confirmed;20161123;;;;LA51
9075310711;0001903125;SHOWROOM ADDITION ORDER;02.12.2016;20.12.2016;From factory 19.12.2016;372;1.799,63;201651123090;2,518;0,000;Confirmed;20161123;;;;LA51
9075310711;0004737356;FINBURGH KITCHEN SERVICE;07.12.2016;20.12.2016;From factory 19.12.2016;28;76,14;201651123063;0,120;0,000;Confirmed;20161206;;;;LA51
9075310711;0004736286;ORPIN KITCHEN EXTRA UNITS;06.12.2016;20.12.2016;From factory 19.12.2016;202;1.236,06;201651123062;1,395;0,000;Confirmed;20161202;;;;LA51
9075310711;0001903331;HANSEN KITCHEN;02.12.2016;20.12.2016;From factory 19.12.2016;672;4.609,55;201651123061;5,035;0,000;Confirmed;20161201;;;;LA51
9075310711;0001903547;SHOWROOM ADDITION ORDER 2;02.12.2016;20.12.2016;From factory 19.12.2016;108;380,66;201651123060;0,876;0,000;Confirmed;20161122;;;;LA51
9075310711;0001901650;ORPIN LAUNDRY;23.11.2016;08.12.2016;From factory 07.12.2016;1.750;9.375,53;201649321131;13,777;0,000;Confirmed;20161120;;;;LA49
9075310711;0001901649;Orpin Kitchen;24.11.2016;08.12.2016;From factory 07.12.2016;1.273;10.362,13;201649321130;8,035;0,000;Confirmed;20161125;;;;LA49
9075310711;0001900307;FIMA KITCHEN;25.11.2016;08.12.2016;From factory 07.12.2016;758;7.077,73;201649321129;4,408;0,000;Confirmed;20161125;;;;LA49
9075311838;0004737126;TODD RECHLER ZBE2;01.12.2016;09.12.2016;Post dispatch on 08.12.2016;7;573,90;201649488007;0,018;0,000;Confirmed;20161130;;;;UPS
9075311838;0004735835;LOT 78 MASTER BATH HERS-O. REP;29.11.2016;07.12.2016;Post dispatch on 06.12.2016;2;177,48;201649288112;0,003;0,000;Confirmed;20161128;;;;UPS
9075311838;0004735766;ADAM MANN KITCHEN NEW CARCASE;29.11.2016;12.12.2016;From factory 09.12.2016;40;209,79;201649595099;0,386;0,000;Confirmed;20161129;;;;AFN50
9075311838;0004735778;ADAM MANN KITCHEN NEW FRONT;29.11.2016;21.12.2016;From factory 20.12.2016;10;535,77;201651289004;0,039;0,000;Confirmed;20161128;;;;UPS
9075311838;0004739039;ADAM MANN ADDITIONAL;20.12.2016;06.02.2017;Confirmed Week 06.2017;1;409,41;;0,007;0,000;Confirmed;20161215;;;;
9075311838;0001907745;ROSLYN GATE LOT #22;14.12.2016;23.01.2017;Confirmed Week 04.2017;1.110;12.859,90;;7,578;0,000;Confirmed;20161215;;;;NJ04
9075311838;0004734350;PARNESS ADDITIONAL;14.12.2016;30.01.2017;From factory 27.01.2017;33;1.010,88;201704550000;0,163;0,000;Confirmed;20161129;;;;NJ05
9075311838;0004735304;JACKMAN KITCHEN ADDITIONAL;21.11.2016;09.12.2016;From factory 08.12.2016;8;153,18;201649489002;0,033;0,000;Confirmed;20161121;;;;UPS
9075312890;0001415968;SHOWROOM SAMPLES;07.12.2016;21.12.2016;From factory 20.12.2016;3;0,00;201651226150;0,005;0,000;Confirmed;20161206;;;;NJ51
9075312890;0004739028;618-MONIKA ECKENBERG SHELF REP;20.12.2016;24.07.2017;Confirmed Week 30.2017;10;0,00;;0,047;0,000;Confirmed;20161220;;;;
9075312890;0004737410;728-ROBERT GEORGESCU/DK REPL.;15.12.2016;19.01.2017;From factory 18.01.2017;29;683,80;201703320065;0,118;0,000;Confirmed;20161205;;;;NJ03
9075312890;0001908068;782-HITEN RAWAL-LAUNDRY;16.12.2016;30.01.2017;Confirmed Week 05.2017;170;997,52;;1,101;0,000;Confirmed;20161216;;;;NJ05
9075312890;0004737030;782-HITEN RAWAL/CD ROLLER SHUT;15.12.2016;19.01.2017;From factory 18.01.2017;27;813,24;201703320063;0,262;0,000;Confirmed;20161130;;;;NJ03
9075312890;0001906806;778-CAREY DOWNEY/CD;19.12.2016;06.02.2017;From factory 02.02.2017;654;9.080,41;201705450000;4,299;0,000;Confirmed;20161214;;;;NJ06
9075312890;0001903518;777-HAYLEY SKUROWSKI/LD;05.12.2016;21.12.2016;From factory 20.12.2016;1.670;17.804,25;201651226124;10,845;0,000;Confirmed;20161130;;;;NJ51
9075312890;0001903520;777-SKUROWSKI-MASTER BATH;05.12.2016;21.12.2016;From factory 20.12.2016;114;905,58;201651226122;0,625;0,000;Confirmed;20161130;;;;NJ51
9075312890;0001908223;605-PEGGY BERNSTEIN REPL.;20.12.2016;19.01.2017;From factory 18.01.2017;0;10,53;201703320068;0,000;0,000;Confirmed;20161214;;;;NJ03
9075312890;0001904430;782-HITEN RAWAL-ENSUITE BATH;15.12.2016;19.01.2017;From factory 18.01.2017;115;1.132,20;201703320060;0,717;0,000;Confirmed;20161127;;;;NJ03
9075312890;0001907531;774-SUNIL SAMPAT-LAUNDRY;13.12.2016;23.01.2017;Confirmed Week 04.2017;351;2.379,38;;2,538;0,000;Confirmed;20161213;;;;NJ04
9075312890;0004735993;703 - JODY ROSEN-REPL;05.12.2016;21.12.2016;From factory 20.12.2016;129;1.147,62;201651226123;0,574;0,000;Confirmed;20161123;;;;NJ51
9075312890;0001904437;782-HITEN RAWAL-KIDS BATH;15.12.2016;19.01.2017;From factory 18.01.2017;120;1.001,82;201703320062;0,876;0,000;Confirmed;20161127;;;;NJ03
9075312890;0001905234;782-HITEN RAWAL/CD;15.12.2016;19.01.2017;From factory 18.01.2017;1.278;10.464,07;201703320064;9,158;0,000;Confirmed;20161202;;;;NJ03
9075312890;0001906377;763-CELA SINAY/DK;15.12.2016;23.01.2017;Confirmed Week 04.2017;1.834;15.398,12;;12,547;0,000;Confirmed;20161214;;;;NJ04
9075312890;0004738986;775-PATRICIA KARR/LD SPECIAL;22.12.2016;20.02.2017;Confirmed Week 08.2017;29;2.130,30;;0,120;0,000;Confirmed;20161220;;;;
9075312890;0004739303;446-BRUCE PASWALL REPL 3;20.12.2016;06.02.2017;From factory 02.02.2017;5;0,00;201705450000;0,003;0,000;Confirmed;20161214;;;;
9075312890;0001907104;775-PATRICIA KARR/LD;19.12.2016;06.02.2017;From factory 02.02.2017;2.013;21.429,57;201705450000;13,115;0,000;Confirmed;20161215;;;;NJ06
9075312890;0004737951;603-DEAN SCHAFFER REPLACEMENT;15.12.2016;19.01.2017;From factory 18.01.2017;42;598,59;201703320067;0,169;0,000;Confirmed;20161206;;;;NJ03
9075312890;0004739313;704-ANA READ REPL;19.12.2016;24.07.2017;Confirmed Week 30.2017;40;143,37;;0,182;0,000;Confirmed;20161220;;;;
9075312890;0001905229;774-SUNIL SAMPAT/DK;15.12.2016;19.01.2017;From factory 18.01.2017;1.449;10.351,24;201703320066;9,366;0,000;Confirmed;20161209;;;;NJ03
9075312890;0004737075;713-COTORANU REPL.;01.12.2016;08.12.2016;Post dispatch on 07.12.2016;4;0,00;201649388052;0,019;0,000;Confirmed;20161205;;;;UPS
9075312890;0001904433;782-HITEN RAWAL-MASTER BATH;15.12.2016;19.01.2017;From factory 18.01.2017;250;1.932,41;201703320061;1,764;0,000;Confirmed;20161127;;;;NJ03
9075312890;0001907533;775-PATRICIA KARR-BATH;15.12.2016;23.01.2017;Confirmed Week 04.2017;762;5.123,74;;4,791;0,000;Confirmed;20161217;;;;NJ05
9075312890;0004739302;446-BRUCE PASWALL REPL;20.12.2016;19.01.2017;From factory 18.01.2017;0;0,00;201703320069;0,000;0,000;Confirmed;20161214;;;;
9075312890;0004739305;728-ROBERT GEORGESCU/DK REPL;20.12.2016;19.01.2017;From factory 18.01.2017;8;0,00;201703320070;0,048;0,000;Confirmed;20161219;;;;
9075312890;0004733943;757-ALLISON FRANCO/LD;24.11.2016;12.12.2016;From factory 08.12.2016;51;366,12;201649420060;0,312;0,000;Confirmed;20161111;;;;NJ49
9075312890;0001903519;777-SKUROWSKI-PARSEY BATH;05.12.2016;21.12.2016;From factory 20.12.2016;84;978,33;201651226121;0,462;0,000;Confirmed;20161122;;;;NJ51
9075312890;0001903522;777-SKUROWSKI-LIVING ROOM;05.12.2016;21.12.2016;From factory 20.12.2016;263;2.460,38;201651226120;1,235;0,000;Confirmed;20161118;;;;NJ51
9075312890;0001903521;777-SKUROWSKI-DESK;05.12.2016;21.12.2016;From factory 20.12.2016;523;4.916,52;201651226125;3,120;0,000;Confirmed;20161201;;;;NJ51
9075312890;0001899265;760-KERRY HATCH/LD;24.11.2016;12.12.2016;From factory 08.12.2016;1.389;12.924,08;201649420061;9,300;0,000;Confirmed;20161115;;;;NJ49
9075312890;0001900676;757-ALLISON FRANCO-BATH;24.11.2016;12.12.2016;From factory 08.12.2016;142;1.621,62;201649420062;0,840;0,000;Confirmed;20161117;;;;NJ49
9075312890;0001896728;748-IAN SLOME/LD;24.11.2016;12.12.2016;From factory 08.12.2016;2.884;37.362,65;201649420030;16,503;0,000;Confirmed;20161107;;;;NJ49
9075313356;0004730607;928 EB-UNIT 1 KITCHEN;17.11.2016;24.07.2017;Confirmed Week 30.2017;8;171,72;;0,033;0,000;Confirmed;20161122;;;;
9075313356;0004736684;928 EB-4 KITCHEN POS. 350 NEW;14.12.2016;23.01.2017;Confirmed Week 04.2017;20;0,00;;0,255;0,000;Confirmed;20161209;;;;
9075313356;0004730753;928 EB-2 KITCHEN SPECIAL FRONT;01.12.2016;24.07.2017;Confirmed Week 30.2017;8;479,29;;0,033;0,000;Confirmed;20161221;;;;
9075313356;0004727385;BRIDGWATER KITCHEN SPECIAL;05.12.2016;21.12.2016;From factory 20.12.2016;41;1.486,35;201651226032;0,168;0,000;Confirmed;20160927;;;;NJ51
9075313356;0001903326;QUINN KITCHEN;15.12.2016;19.01.2017;From factory 18.01.2017;2.155;21.542,88;201703320120;14,459;0,000;Confirmed;20161209;;;;NJ03
9075313356;0004739059;QUINN KITCHEN ADD SLIDE AWAY;21.12.2016;24.07.2017;Confirmed Week 30.2017;99;2.256,66;;1,116;0,000;Confirmed;20161221;;;;
9075313356;0004736957;QUINN KITCHEN SPECIAL FRONTS;29.11.2016;24.07.2017;Confirmed Week 30.2017;33;1.117,80;;0,133;0,000;Confirmed;20161209;;;;
9075313356;0004739884;SCHOTT KITCHEN NEW CARCASE;20.12.2016;24.07.2017;Confirmed Week 30.2017;29;196,10;;0,296;0,000;Confirmed;20161221;;;;
9075313356;0004737115;156 CONCORD STREET UNIT 2 REPL;14.12.2016;10.01.2017;Post dispatch on 09.01.2017;13;211,59;201702188018;0,054;0,000;Confirmed;20161209;;;;UPS
9075313356;0001900684;29 THORNDIKE;05.12.2016;21.12.2016;From factory 20.12.2016;1.779;11.129,87;201651226030;12,252;0,000;Confirmed;20161122;;;;NJ51
9075313356;0004733726;TEUNISSEN KITCHEN REPL;25.11.2016;13.12.2016;From factory 12.12.2016;76;356,08;201650195006;0,561;0,000;Confirmed;20161208;;;;AFM50
9075313356;0004732103;SINGER & MINOW CARRE FS PARTS;23.11.2016;24.07.2017;Confirmed Week 30.2017;42;1.686,42;;0,171;0,000;Confirmed;20161123;;;;
9075313356;0004735690;SINGER & MINOW SLIDEAWAYUNIT;05.12.2016;21.12.2016;From factory 20.12.2016;128;2.264,31;201651226031;1,059;0,000;Confirmed;20161123;;;;NJ51
9075313413;0001883632;P-2507-K-C;25.11.2016;13.12.2016;From factory 12.12.2016;1.058;12.624,93;201650121031;7,734;0,000;Confirmed;20160805;;;;HN50
9075313413;0001888396;P-3405-K-F;25.11.2016;13.12.2016;From factory 12.12.2016;2.183;17.521,38;201650121041;13,909;0,000;Confirmed;20161114;;;;HN50
9075313413;0004725556;P-2305-K;25.11.2016;13.12.2016;From factory 12.12.2016;210;0,00;201650121037;1,047;0,000;Confirmed;20160909;;;;HN50
